date,county,year,T_night
2024-06-10,Albemarle,2024,17.16133464453713
2024-06-10,Appomattox,2024,17.006435615440672
2024-06-10,Amelia,2024,18.14998968270723
2024-06-10,Fairfax,2024,NA
2024-06-10,Franklin,2024,20.452932762954404
2024-06-10,Richmond,2024,19.923956601714256
2024-06-17,Roanoke,2024,24.31501297581909
2024-06-17,Alleghany,2024,20.793380780056328
2024-06-17,Amherst,2024,21.805429116551245
2024-06-17,Franklin,2024,21.77867784993525
2024-06-17,Roanoke,2024,21.82487580425564
2024-06-17,Fairfax,2024,24.556568805117266
2024-06-17,Richmond,2024,22.24082115172341
2024-06-17,Accomack,2024,21.908164261315637
2024-06-17,Albemarle,2024,22.07444711987252
2024-06-17,Appomattox,2024,21.915084514204512
2024-06-17,Amelia,2024,22.126018684643977
2024-06-17,Fairfax,2024,25.63468333020111
2024-06-17,Franklin,2024,22.572111948955943
2024-06-17,Richmond,2024,25.113336360849267
2024-06-24,Roanoke,2024,23.015642935439473
2024-06-24,Alleghany,2024,19.445626309673777
2024-06-24,Amherst,2024,20.857898658382325
2024-06-24,Franklin,2024,21.36008928971318
2024-06-24,Roanoke,2024,20.829871319098952
2024-06-24,Fairfax,2024,22.873093875494607
2024-06-24,Richmond,2024,21.418745579222232
2024-06-24,Accomack,2024,21.769655061128933
2024-06-24,Albemarle,2024,21.28827832236055
2024-06-24,Appomattox,2024,21.36769883677229
2024-06-24,Amelia,2024,22.33160149781096
2024-06-24,Fairfax,2024,24.004063772473867
2024-06-24,Franklin,2024,24.834862964037168
2024-06-24,Richmond,2024,24.269983086788812
2024-07-01,Roanoke,2024,22.114264594283167
2024-07-01,Alleghany,2024,19.49062676196576
2024-07-01,Amherst,2024,17.91685166169661
2024-07-01,Franklin,2024,20.206962369780452
2024-07-01,Roanoke,2024,20.190157899861312
2024-07-01,Fairfax,2024,19.933585866013622
2024-07-01,Richmond,2024,18.37631457338251
2024-07-01,Accomack,2024,21.148656428789593
2024-07-01,Albemarle,2024,17.67330361506835
2024-07-01,Appomattox,2024,17.36698414365223
2024-07-01,Amelia,2024,18.467623426371063
2024-07-01,Fairfax,2024,19.69744460028053
2024-07-01,Franklin,2024,18.849749129930427
2024-07-01,Richmond,2024,21.60547118111448
2024-07-08,Roanoke,2024,24.458962428345274
2024-07-08,Alleghany,2024,21.811249968559
2024-07-08,Amherst,2024,22.898539062955827
2024-07-08,Franklin,2024,22.442869183580687
2024-07-08,Roanoke,2024,21.58006076327016
2024-07-08,Fairfax,2024,25.474339567002044
2024-07-08,Richmond,2024,24.350296514619338
2024-07-08,Accomack,2024,22.93113189629648
2024-07-08,Albemarle,2024,22.651098395986164
2024-07-08,Appomattox,2024,24.463811338066833
2024-07-08,Amelia,2024,23.1449184469757
2024-07-08,Fairfax,2024,25.793681638789728
2024-07-08,Franklin,2024,24.961954756380543
2024-07-08,Richmond,2024,24.85087682992259
2024-07-15,Roanoke,2024,25.848179825177812
2024-07-15,Alleghany,2024,22.592065356594397
2024-07-15,Amherst,2024,24.35775852066719
2024-07-15,Franklin,2024,23.475779662013785
2024-07-15,Roanoke,2024,23.460912003141186
2024-07-15,Fairfax,2024,26.117492938712463
2024-07-15,Richmond,2024,26.028967012217556
2024-07-15,Accomack,2024,25.992477729850737
2024-07-15,Albemarle,2024,25.067797789258204
2024-07-15,Appomattox,2024,24.3007910374358
2024-07-15,Amelia,2024,24.410047390452192
2024-07-15,Fairfax,2024,26.743815072354852
2024-07-15,Franklin,2024,25.603464810518204
